Customer ID,Recency,Frequency,Monetary,purchase_next_3m
12844,39,3,497.52,1.0
12845,176,4,354.09,0.0
12846,591,1,15.58,0.0
12847,297,1,765.36,1.0
12848,585,1,208.0,0.0
12849,178,5,2744.17,1.0
12850,355,1,330.0,0.0
12851,6,2,284.13,0.0
12852,204,1,311.55,0.0
12853,44,11,3907.5,0.0
12854,150,6,2479.89,1.0
12855,282,4,650.9399999999999,0.0
12857,120,6,3688.0,0.0
12858,292,1,177.92,0.0
12859,368,1,575.1,0.0
12860,602,1,55.47,0.0
12861,529,1,68.25,0.0
12862,335,2,1008.3199999999999,0.0
12863,288,5,2271.35,1.0
12864,47,2,299.57,0.0
12865,33,3,2736.62,1.0
12866,192,3,1227.35,0.0
12867,5,12,6902.21,1.0
12868,95,8,2247.06,0.0
12869,591,1,337.66999999999996,0.0
12870,284,3,1676.95,0.0
12871,116,2,495.38,1.0
12872,236,12,3685.4900000000002,0.0
12873,191,3,2027.3,0.0
12874,294,2,948.42,0.0
12875,52,5,1356.99,0.0
12876,105,3,2590.2000000000003,1.0
12877,34,17,2478.63,1.0
12878,145,2,854.99,0.0
12879,1,1,140.5,1.0
12880,291,2,640.13,0.0
12881,185,1,298.0,0.0
12885,33,1,645.35,1.0
12886,129,1,775.0,1.0
12887,293,1,222.4,0.0
12888,123,2,354.12,0.0
12889,290,4,385.46000000000004,0.0
12890,296,1,336.8,1.0
12891,95,11,840.5,0.0
12892,306,1,263.38,0.0
12894,484,1,157.35,0.0
12897,114,4,514.25,0.0
12898,373,2,310.96000000000004,0.0
12899,323,1,366.4,0.0
12900,331,1,340.33,0.0
12901,18,19,11639.470000000001,1.0
12902,174,1,138.68,0.0
12903,338,1,833.53,0.0
12904,81,1,244.69,1.0
12905,486,2,1018.42,0.0
12907,305,2,508.91,0.0
12908,85,5,1776.0,0.0
12909,111,6,2452.89,1.0
12910,43,9,4208.38,1.0
12911,461,1,1680.47,0.0
12913,192,11,5083.62,1.0
12914,310,1,223.98,0.0
12915,58,4,1174.75,0.0
12916,48,7,4654.0199999999995,0.0
12917,37,6,4359.2,0.0
12918,535,1,10953.5,0.0
12919,26,3,441.65,1.0
12920,480,3,323.86,1.0
12921,7,61,29417.420000000002,1.0
12922,70,1,405.38,0.0
12923,299,2,612.9,1.0
12924,107,11,2190.9700000000003,1.0
12925,502,1,35.28,1.0
12926,320,4,1548.46,0.0
12927,304,1,197.31,0.0
12928,57,10,3378.33,1.0
12929,221,1,117.85,0.0
12930,80,1,221.56,1.0
12931,11,53,82822.08,1.0
12932,448,8,1698.56,0.0
12933,80,7,1436.99,1.0
12934,646,1,181.65,0.0
12935,19,12,3618.5,1.0
12937,106,7,2021.57,1.0
12939,47,16,21673.08,1.0
12941,633,1,377.49,0.0
12942,40,3,942.65,0.0
12943,467,2,496.5,0.0
12944,264,1,286.95,1.0
12945,197,2,900.11,0.0
12946,346,1,324.45,0.0
12947,53,6,1908.03,0.0
12948,14,6,1676.44,1.0
12949,23,21,14808.9,1.0
12951,83,14,2901.4300000000003,1.0
12953,431,1,498.96000000000004,1.0
12954,548,1,162.45,0.0
12955,2,6,1843.36,1.0
12956,215,4,521.89,0.0
12957,95,9,6404.72,1.0
12958,309,2,539.49,0.0
12959,393,1,150.95,0.0
12960,323,4,1322.07,0.0
12961,288,1,211.99,0.0
12962,22,1,170.54000000000002,1.0
12963,275,5,2110.76,1.0
12964,346,1,132.24,0.0
12967,267,3,4306.92,0.0
12968,21,1,135.95,0.0
12969,512,1,122.45,0.0
12970,231,8,1096.53,1.0
12971,1,94,12948.2,1.0
12972,323,4,1161.2,0.0
12973,323,1,385.55,0.0
12974,107,2,408.95,0.0
12975,346,6,2100.09,0.0
12976,121,8,3156.38,0.0
12977,65,4,517.63,0.0
12978,294,5,2502.82,0.0
12979,638,1,517.7,0.0
12980,67,21,16245.78,0.0
12981,42,1,187.18,1.0
12982,152,8,2744.81,0.0
12983,507,1,490.08000000000004,0.0
12986,338,10,2729.84,0.0
12987,107,4,1057.81,1.0
12988,201,1,535.32,0.0
12989,67,26,11096.78,1.0
12990,94,6,809.9,1.0
12991,21,2,564.62,1.0
12992,634,1,93.35000000000001,0.0
12993,30,7,1217.27,1.0
12994,29,2,645.47,1.0
12996,285,1,355.5,0.0
12997,145,6,1492.49,1.0
12998,402,3,920.08,0.0
12999,105,3,455.88,0.0
13000,16,4,1032.5,0.0
13001,67,31,22968.7,1.0
13002,227,3,414.13,0.0
13003,15,3,149.05,0.0
13004,23,30,9780.03,1.0
13005,83,4,999.68,0.0
13007,489,1,175.25,0.0
13008,232,3,612.13,0.0
13009,582,1,234.0,0.0
13010,283,2,330.12,0.0
13011,281,1,101.10000000000001,0.0
13012,58,7,2323.3,1.0
13013,2,25,11500.92,1.0
13014,23,6,3937.2799999999997,1.0
13015,106,10,5003.18,1.0
13016,32,1,425.25,1.0
13018,2,25,7561.17,1.0
13019,288,6,1229.95,0.0
13020,472,2,618.96,0.0
13021,76,12,3423.33,1.0
13022,339,1,65.3,0.0
13023,39,2,1095.53,1.0
13024,380,2,555.87,0.0
13025,641,1,323.39,0.0
13026,2,7,1361.92,1.0
13027,23,19,17335.2,0.0
13029,48,4,1453.0,1.0
13030,277,1,855.48,1.0
13031,316,5,3419.27,0.0
13032,302,7,1833.37,1.0
13033,266,2,220.55,0.0
13034,278,2,445.77,1.0
13035,170,2,775.32,1.0
13036,594,1,307.1,0.0
13037,47,12,3914.9500000000003,0.0
13038,93,2,591.76,1.0
13039,493,4,1010.73,0.0
13041,360,4,799.13,0.0
13042,507,3,1556.54,0.0
13043,182,1,516.42,0.0
13044,200,11,4853.9,0.0
13045,8,3,808.92,0.0
13046,175,2,517.66,1.0
13047,36,22,8239.630000000001,1.0
13048,23,8,3623.35,1.0
13049,227,3,905.34,1.0
13050,15,31,11017.41,1.0
13051,488,2,155.8,0.0
13052,121,7,3168.53,0.0
13053,531,1,127.65,0.0
13055,123,2,1451.56,1.0
13056,460,1,209.48,0.0
13057,439,3,722.09,0.0
13058,61,1,47.550000000000004,1.0
13059,159,10,2303.17,0.0
13060,163,1,307.53,0.0
13062,100,1,346.98,0.0
13063,390,1,188.4,0.0
13064,62,4,1220.5,1.0
13065,282,5,1260.91,0.0
13067,319,2,393.05,1.0
13068,229,1,165.0,1.0
13069,9,34,9121.710000000001,1.0
13070,101,4,751.7,0.0
13071,521,1,129.22,0.0
13072,176,1,177.15,0.0
13073,320,2,418.08,0.0
13074,420,4,1378.74,0.0
13075,39,1,919.61,0.0
13076,367,1,135.4,0.0
13077,199,10,2912.84,1.0
13078,16,46,23821.66,1.0
13079,0,3,258.58,1.0
13080,88,4,280.73,0.0
13081,53,25,49737.89,1.0
13082,35,21,7335.75,0.0
13083,334,1,91.67999999999999,1.0
13084,401,1,122.39999999999999,0.0
13085,67,8,2433.28,0.0
13086,292,1,439.33000000000004,0.0
13087,635,1,313.64,0.0
13088,326,1,236.11,0.0
13089,9,177,101236.52,1.0
13090,45,19,10104.29,1.0
13091,639,2,1976.0,1.0
13092,121,11,2102.2,1.0
13093,185,55,54943.65,0.0
13094,39,11,2051.52,1.0
13096,303,1,419.70000000000005,0.0
13097,32,26,12022.51,1.0
13098,3,18,15169.46,1.0
13099,8,1,207.35999999999999,0.0
13101,143,4,695.4,0.0
13102,43,32,10234.53,1.0
13103,347,2,465.70000000000005,1.0
13104,42,6,987.06,1.0
13105,345,1,72.0,0.0
13106,42,2,603.46,0.0
13107,85,7,4656.67,1.0
13108,282,2,1098.52,0.0
13109,66,2,717.34,1.0
13110,46,10,2511.04,1.0
13111,628,1,321.88000000000005,0.0
13112,450,1,20.6,0.0
13113,23,33,17166.83,1.0
13114,640,1,234.38,0.0
13115,93,7,4078.4700000000003,1.0
13116,47,1,501.14,0.0
13117,31,17,2500.67,1.0
13118,117,7,2017.3,1.0
13119,578,1,134.9,0.0
13120,148,1,30.599999999999998,0.0
13121,178,1,283.73,0.0
13122,3,2,922.39,0.0
13123,382,2,506.75,0.0
13124,161,3,3490.24,1.0
13125,433,1,158.57,0.0
13126,162,10,2976.03,1.0
13128,540,1,263.5,0.0
13129,361,2,233.25,0.0
13130,3,1,64.0,0.0
13131,97,5,2565.37,1.0
13132,171,1,77.3,0.0
13133,183,3,200.45000000000002,0.0
13134,93,5,1567.39,1.0
13135,106,2,3371.45,0.0
13136,52,11,4893.63,1.0
13137,2,13,5993.33,1.0
13138,42,4,994.3,1.0
13139,19,4,4848.98,1.0
13140,17,5,1215.68,0.0
13141,123,16,6680.86,1.0
13143,494,1,405.1,0.0
13144,242,2,135.35,0.0
13145,1,6,1304.72,1.0
13147,9,1,118.80000000000001,1.0
13148,43,24,7704.56,1.0
13149,15,3,1132.62,1.0
13150,393,3,449.96999999999997,0.0
13151,205,3,2580.7400000000002,0.0
13152,326,7,2146.38,0.0
13154,308,3,1624.84,0.0
13155,236,4,1347.6200000000001,1.0
13156,294,3,1586.54,0.0
13157,50,8,4819.34,1.0
13158,4,5,1508.18,0.0
13159,15,2,851.59,1.0
13161,222,2,478.88,0.0
13162,31,16,9275.49,0.0
13163,519,1,17.65,0.0
13164,478,2,372.2,0.0
13165,260,2,784.32,1.0
13166,192,2,884.18,0.0
13167,40,3,751.37,1.0
13168,108,4,1528.78,1.0
13169,161,2,632.4000000000001,1.0
13171,208,1,140.35,1.0
13172,309,1,69.6,0.0
13173,276,10,2451.64,1.0
13174,225,11,8786.08,1.0
13175,491,2,831.45,0.0
13177,340,1,229.75,1.0
13178,42,18,12725.45,1.0
13179,528,1,572.3100000000001,0.0
13180,516,1,86.10000000000001,0.0
13181,290,1,359.69,0.0
13183,10,12,5473.38,1.0
13184,40,9,1504.44,1.0
13185,177,1,71.4,0.0
13186,3,2,1301.94,1.0
13187,246,4,367.01,0.0
13189,24,1,127.0,1.0
13190,453,3,570.66,0.0
13191,567,1,164.69,0.0
13192,4,6,2558.58,0.0
13194,45,2,472.78,0.0
13195,323,1,172.38,0.0
13196,171,4,1783.19,1.0
13197,519,1,373.01000000000005,0.0
13198,30,7,4582.17,1.0
13199,1,51,11355.93,1.0
13200,35,1,319.32,1.0
13201,411,4,1240.6100000000001,0.0
13202,303,7,1580.3,0.0
13203,30,8,2088.65,1.0
13204,640,1,966.6600000000001,0.0
13205,352,1,2803.2,0.0
13206,309,13,8377.32,0.0
13207,60,3,483.12000000000006,1.0
13208,64,7,1599.67,1.0
13209,38,10,6773.98,1.0
13210,3,1,353.48,0.0
13211,4,9,2418.54,1.0
13213,37,10,3294.82,1.0
13214,327,7,3264.23,0.0
13215,311,1,81.6,0.0
13216,177,1,333.74,0.0
13217,31,4,666.48,0.0
13218,36,1,62.63999999999999,0.0
13219,527,1,76.23,0.0
13220,95,4,1243.29,1.0
13221,149,2,847.41,0.0
13222,486,1,88.5,0.0
13223,109,6,969.1200000000001,0.0
13224,60,1,1212.26,1.0
13225,52,14,14095.79,1.0
13226,182,2,312.46,0.0
13227,111,1,257.7,0.0
13229,135,1,160.95,0.0
13230,47,28,5787.99,1.0
13232,7,5,1048.3,1.0
13233,245,3,875.58,1.0
13234,582,2,356.95,0.0
13235,121,1,1031.07,0.0
13236,16,1,439.23,1.0
13237,297,1,643.0,0.0
13238,73,4,624.75,1.0
13239,171,5,1594.69,0.0
13240,5,8,1738.52,0.0
13241,321,1,115.58,0.0
13242,21,7,699.4,0.0
13243,112,5,1278.04,0.0
13244,2,1,121.74000000000001,0.0
13245,341,1,558.72,1.0
13246,85,10,3261.12,1.0
13248,34,2,465.68,0.0
13249,1,9,1608.93,0.0
13250,370,2,256.04,0.0
13251,311,1,252.68,0.0
13252,303,2,399.3,0.0
13253,66,4,2951.11,0.0
13254,285,1,51.410000000000004,0.0
13255,283,2,730.65,1.0
13257,345,1,149.75,0.0
13258,114,3,561.22,1.0
13259,307,8,1141.06,1.0
13261,178,2,944.1,0.0
13262,172,3,573.45,0.0
13263,17,27,6121.3,1.0
13264,352,1,722.5600000000001,0.0
13265,93,3,1465.66,1.0
13266,22,15,4836.36,1.0
13267,1,32,8356.11,1.0
13268,79,6,2150.25,1.0
13269,19,21,6526.92,1.0
13270,275,1,1180.0,0.0
13273,22,1,138.98,0.0
13274,318,1,360.85,0.0
13275,293,2,241.66,0.0
13276,9,4,1485.71,1.0
13277,25,5,390.8,1.0
13278,309,3,893.12,1.0
13280,31,7,2322.63,0.0
13281,348,1,350.85,0.0
13282,71,3,954.1500000000001,1.0
13283,95,3,305.2,1.0
13284,240,1,201.19,0.0
13285,70,5,2625.57,1.0
13286,509,1,734.91,0.0
13287,512,3,781.59,0.0
13288,352,5,927.61,0.0
13289,633,1,307.95,0.0
13290,347,1,208.63,0.0
13291,65,11,3320.84,0.0
13292,193,4,665.14,1.0
13293,301,6,1192.94,0.0
13294,99,3,1689.53,0.0
13295,269,4,1101.97,0.0
13296,46,6,792.51,0.0
13297,294,3,2278.77,1.0
13299,177,3,1218.7,0.0
13300,78,3,1285.51,0.0
13301,13,4,618.09,0.0
13302,64,2,159.2,0.0
13303,309,1,61.72,0.0
13304,260,4,1217.99,0.0
13305,2,14,3225.1,1.0
13306,339,1,53.65,0.0
13307,29,3,273.34,0.0
13308,112,2,1099.81,1.0
13309,116,3,796.22,1.0
13310,115,4,1226.82,1.0
13311,59,1,490.11,1.0
13312,360,1,124.75,0.0
13313,50,10,2808.34,1.0
13315,598,1,310.26,0.0
13316,41,8,10993.82,1.0
13317,108,18,5526.3910000000005,1.0
13319,1,51,18627.420000000002,1.0
13320,16,5,1660.55,1.0
13324,112,15,7190.51,1.0
13326,341,1,281.76,0.0
13327,22,19,8990.460000000001,1.0
13328,225,1,1308.48,0.0
13329,276,7,4628.17,1.0
13330,2,6,2806.18,0.0
13331,311,1,262.4,0.0
13333,320,3,1015.74,0.0
13334,100,4,5458.77,1.0
13337,455,1,1575.26,0.0
13338,67,4,2445.62,0.0
13339,110,1,860.12,0.0
13340,15,10,20593.62,1.0
13341,170,1,775.85,0.0
13343,87,1,353.43,0.0
13344,187,1,1656.15,1.0
13345,197,1,389.5,0.0
13346,372,6,299.4,0.0
13355,31,1,674.7,0.0
