Customer ID,Recency,Frequency,Monetary,Segment,SegmentName
12466,681,1,56.73,0,At-Risk Customers
12467,422,1,132.8,0,At-Risk Customers
12468,187,5,3670.74,1,VIP Loyalists
12469,522,2,3070.54,0,At-Risk Customers
12470,689,1,211.95,0,At-Risk Customers
12471,1,79,39963.79,2,Regular Customers
12472,31,19,17880.59,1,VIP Loyalists
12473,28,5,3938.55,1,VIP Loyalists
12474,16,31,12424.45,1,VIP Loyalists
12475,53,2,1149.64,1,VIP Loyalists
12476,15,23,14115.41,1,VIP Loyalists
12477,22,9,20276.37,1,VIP Loyalists
12478,3,1,680.99,1,VIP Loyalists
12479,10,1,527.2,1,VIP Loyalists
12480,27,7,5464.85,1,VIP Loyalists
12481,22,15,12361.39,1,VIP Loyalists
12482,575,29,23691.4,0,At-Risk Customers
12483,16,19,5120.58,1,VIP Loyalists
12484,32,12,6370.15,1,VIP Loyalists
12485,528,1,708.1,0,At-Risk Customers
12486,431,1,1037.28,0,At-Risk Customers
12487,730,1,285.29999999999995,0,At-Risk Customers
12488,9,3,1298.66,1,VIP Loyalists
12489,335,1,334.93,0,At-Risk Customers
12490,4,21,9823.64,1,VIP Loyalists
12491,38,1,460.4,1,VIP Loyalists
12492,62,3,715.21,1,VIP Loyalists
12493,165,2,433.74,1,VIP Loyalists
12494,15,9,1872.87,1,VIP Loyalists
12495,640,1,357.4,0,At-Risk Customers
12496,619,2,54.09,0,At-Risk Customers
12497,81,3,6248.5,1,VIP Loyalists
12498,20,3,403.7000000000001,1,VIP Loyalists
12499,559,1,393.72,0,At-Risk Customers
12500,22,19,5955.21,1,VIP Loyalists
12501,336,1,2169.39,0,At-Risk Customers
12502,95,5,3723.87,1,VIP Loyalists
12503,583,1,1126.0,0,At-Risk Customers
12504,17,4,779.05,1,VIP Loyalists
12505,408,1,955.2,0,At-Risk Customers
12506,232,1,73.5,1,VIP Loyalists
12507,133,4,1844.06,1,VIP Loyalists
12508,25,2,398.27,1,VIP Loyalists
12509,283,1,176.5,0,At-Risk Customers
12510,142,9,5178.02,1,VIP Loyalists
12511,428,1,3084.02,0,At-Risk Customers
12512,65,2,138.03,1,VIP Loyalists
12513,112,1,612.29,1,VIP Loyalists
12514,266,2,1597.76,0,At-Risk Customers
12515,352,1,383.7,0,At-Risk Customers
12516,77,4,2648.62,1,VIP Loyalists
12517,27,5,2502.84,1,VIP Loyalists
12518,0,5,2056.89,1,VIP Loyalists
12519,63,2,726.54,1,VIP Loyalists
12520,78,5,2634.26,1,VIP Loyalists
12521,142,1,599.68,1,VIP Loyalists
12522,38,2,192.72,1,VIP Loyalists
12523,18,23,4372.15,1,VIP Loyalists
12524,8,17,11126.11,1,VIP Loyalists
12525,497,3,973.73,0,At-Risk Customers
12526,0,3,1316.66,1,VIP Loyalists
12527,81,5,735.51,1,VIP Loyalists
12528,8,6,1933.48,1,VIP Loyalists
12529,527,1,316.48,0,At-Risk Customers
12530,59,9,3759.26,1,VIP Loyalists
12531,14,2,1933.2,1,VIP Loyalists
12532,29,1,349.83000000000004,1,VIP Loyalists
12533,627,2,1367.89,0,At-Risk Customers
12534,130,1,1089.18,1,VIP Loyalists
12535,91,2,716.35,1,VIP Loyalists
12536,42,3,12601.830000000002,1,VIP Loyalists
12537,408,1,732.94,0,At-Risk Customers
12538,28,2,640.45,1,VIP Loyalists
12539,21,7,11214.75,1,VIP Loyalists
12540,19,33,22254.49,1,VIP Loyalists
12541,29,3,981.18,1,VIP Loyalists
12542,483,2,481.88,0,At-Risk Customers
12543,447,1,980.25,0,At-Risk Customers
12544,35,1,372.7,1,VIP Loyalists
12545,74,2,1000.39,1,VIP Loyalists
12546,46,2,1161.5,1,VIP Loyalists
12547,197,3,383.58,1,VIP Loyalists
12548,165,1,95.2,1,VIP Loyalists
12549,575,6,1575.68,0,At-Risk Customers
12550,78,1,964.83,1,VIP Loyalists
12551,357,1,168.0,0,At-Risk Customers
12552,38,2,437.82,1,VIP Loyalists
12553,7,12,4608.75,1,VIP Loyalists
12554,448,1,468.5,0,At-Risk Customers
12555,681,1,129.23,0,At-Risk Customers
12556,49,2,603.71,1,VIP Loyalists
12557,15,8,18716.14,1,VIP Loyalists
12558,7,1,269.96,1,VIP Loyalists
12559,310,2,561.71,0,At-Risk Customers
12560,4,3,2134.01,1,VIP Loyalists
12561,302,1,238.85,0,At-Risk Customers
12562,7,9,4966.92,1,VIP Loyalists
12563,408,1,249.24,0,At-Risk Customers
12564,260,1,456.9,0,At-Risk Customers
12565,288,1,145.92,0,At-Risk Customers
12566,85,1,351.65,1,VIP Loyalists
12567,22,15,13709.86,1,VIP Loyalists
12568,644,1,70.0,0,At-Risk Customers
12569,1,32,4124.69,1,VIP Loyalists
12570,681,1,77.52,0,At-Risk Customers
12571,39,2,519.61,1,VIP Loyalists
12572,8,2,1020.42,1,VIP Loyalists
12573,226,5,717.41,1,VIP Loyalists
12574,315,1,218.45,0,At-Risk Customers
12575,456,2,622.8199999999999,0,At-Risk Customers
12576,35,8,2142.72,1,VIP Loyalists
12577,34,8,1653.75,1,VIP Loyalists
12578,20,4,4642.45,1,VIP Loyalists
12579,77,1,440.42,1,VIP Loyalists
12580,246,2,1052.9,1,VIP Loyalists
12581,39,1,197.71,1,VIP Loyalists
12582,238,4,1980.4,1,VIP Loyalists
12583,2,27,14447.44,1,VIP Loyalists
12584,3,9,2338.15,1,VIP Loyalists
12585,233,2,2040.1,1,VIP Loyalists
12586,16,4,2062.67,1,VIP Loyalists
12587,7,1,144.0,1,VIP Loyalists
12588,38,4,958.78,1,VIP Loyalists
12589,28,8,4695.66,1,VIP Loyalists
12590,210,2,9864.26,1,VIP Loyalists
12591,316,3,1352.15,0,At-Risk Customers
12592,91,5,2582.66,1,VIP Loyalists
12593,108,3,418.1,1,VIP Loyalists
12594,37,15,5090.110000000001,1,VIP Loyalists
12595,504,1,299.02,0,At-Risk Customers
12596,50,2,618.27,1,VIP Loyalists
12597,18,4,3811.22,1,VIP Loyalists
12598,9,11,4534.09,1,VIP Loyalists
12599,28,13,2296.72,1,VIP Loyalists
12600,28,21,5043.92,1,VIP Loyalists
12601,189,6,681.26,1,VIP Loyalists
12602,58,1,153.12,1,VIP Loyalists
12603,21,1,739.1999999999999,1,VIP Loyalists
12604,78,2,254.18,1,VIP Loyalists
12605,375,4,1232.95,0,At-Risk Customers
12606,681,1,21.0,0,At-Risk Customers
12607,59,1,1579.51,1,VIP Loyalists
12608,404,1,415.79,0,At-Risk Customers
12609,77,9,3435.86,1,VIP Loyalists
12610,22,5,2099.54,1,VIP Loyalists
12611,51,1,1193.32,1,VIP Loyalists
12612,73,1,704.0400000000001,1,VIP Loyalists
12613,56,10,6835.07,1,VIP Loyalists
12614,277,1,315.6,0,At-Risk Customers
12615,1,8,5740.98,1,VIP Loyalists
12616,94,3,1131.1,1,VIP Loyalists
12617,28,1,355.53,1,VIP Loyalists
12618,21,1,177.31,1,VIP Loyalists
12619,15,10,3781.38,1,VIP Loyalists
12620,14,3,1339.41,1,VIP Loyalists
12621,1,35,24775.81,1,VIP Loyalists
12622,231,1,180.1,1,VIP Loyalists
12623,275,7,3747.84,0,At-Risk Customers
12624,105,2,641.13,1,VIP Loyalists
12625,211,4,5164.88,1,VIP Loyalists
12626,22,9,6620.48,1,VIP Loyalists
12627,10,7,4478.53,1,VIP Loyalists
12628,3,3,786.46,1,VIP Loyalists
12629,385,2,1558.22,0,At-Risk Customers
12630,9,2,1270.88,1,VIP Loyalists
12631,56,6,3481.57,1,VIP Loyalists
12632,520,2,804.88,0,At-Risk Customers
12633,58,7,5678.16,1,VIP Loyalists
12634,535,2,490.0,0,At-Risk Customers
12635,89,4,2930.41,1,VIP Loyalists
12636,738,1,141.0,0,At-Risk Customers
12637,66,12,8340.31,1,VIP Loyalists
12638,32,2,921.49,1,VIP Loyalists
12639,238,3,1312.37,1,VIP Loyalists
12640,23,3,1174.58,1,VIP Loyalists
12641,114,1,185.9,1,VIP Loyalists
12642,24,3,1013.26,1,VIP Loyalists
12643,127,12,8350.42,1,VIP Loyalists
12644,129,4,1918.49,1,VIP Loyalists
12645,33,8,3539.3,1,VIP Loyalists
12646,4,2,1346.97,1,VIP Loyalists
12647,21,36,17924.35,1,VIP Loyalists
12648,154,4,1112.0,1,VIP Loyalists
12649,106,8,2294.65,1,VIP Loyalists
12650,2,1,314.44,1,VIP Loyalists
12651,334,4,377.75,0,At-Risk Customers
12652,330,2,1017.03,0,At-Risk Customers
12653,148,3,4160.83,1,VIP Loyalists
12654,10,5,601.98,1,VIP Loyalists
12655,423,1,261.35,0,At-Risk Customers
12656,16,8,6407.83,1,VIP Loyalists
12657,10,4,1643.18,1,VIP Loyalists
12658,18,1,686.05,1,VIP Loyalists
12659,29,1,91.68,1,VIP Loyalists
12660,10,1,245.1,1,VIP Loyalists
12661,435,1,162.0,0,At-Risk Customers
12662,0,20,6988.02,1,VIP Loyalists
12663,624,2,239.4,0,At-Risk Customers
12664,7,11,6070.04,1,VIP Loyalists
12665,324,3,313.6,0,At-Risk Customers
12666,393,1,1248.42,0,At-Risk Customers
12667,57,1,620.13,1,VIP Loyalists
12668,11,10,11444.68,1,VIP Loyalists
12669,150,3,2744.03,1,VIP Loyalists
12670,9,7,3760.29,1,VIP Loyalists
12671,605,1,2622.481,0,At-Risk Customers
12672,329,2,437.05,0,At-Risk Customers
12673,4,3,1230.02,1,VIP Loyalists
12674,38,4,1970.6,1,VIP Loyalists
12675,553,2,958.5,0,At-Risk Customers
12676,24,11,2843.09,1,VIP Loyalists
12677,554,2,395.1,0,At-Risk Customers
12678,41,21,34281.18,1,VIP Loyalists
12679,58,4,1113.02,1,VIP Loyalists
12680,0,4,880.81,1,VIP Loyalists
12681,14,45,30868.28,1,VIP Loyalists
12682,3,52,24033.91,1,VIP Loyalists
12683,3,21,12696.78,1,VIP Loyalists
12684,7,7,2283.63,1,VIP Loyalists
12685,27,6,2863.08,1,VIP Loyalists
12686,371,1,178.28,0,At-Risk Customers
12687,480,2,2138.91,0,At-Risk Customers
12688,113,1,4873.81,1,VIP Loyalists
12689,25,2,1247.61,1,VIP Loyalists
12690,205,1,389.01,1,VIP Loyalists
12691,27,7,1170.4,1,VIP Loyalists
12692,636,1,110.95,0,At-Risk Customers
12693,126,7,1703.02,1,VIP Loyalists
12694,69,3,1843.35,1,VIP Loyalists
12695,6,7,1407.12,1,VIP Loyalists
12696,434,2,851.91,0,At-Risk Customers
12697,28,3,957.59,1,VIP Loyalists
12698,589,1,339.75,0,At-Risk Customers
12699,417,1,638.11,0,At-Risk Customers
12700,7,4,4939.99,1,VIP Loyalists
12701,79,6,2446.41,1,VIP Loyalists
12702,19,1,219.0,1,VIP Loyalists
12703,70,4,1006.53,1,VIP Loyalists
12704,6,8,2340.84,1,VIP Loyalists
12705,14,14,11762.1,1,VIP Loyalists
12707,291,1,603.42,0,At-Risk Customers
12708,29,18,5314.1,1,VIP Loyalists
12709,14,34,31093.34,1,VIP Loyalists
12710,96,3,1149.02,1,VIP Loyalists
12711,611,2,1339.05,0,At-Risk Customers
12712,28,21,7193.66,1,VIP Loyalists
12713,0,1,848.55,1,VIP Loyalists
12714,8,12,14093.71,1,VIP Loyalists
12715,105,1,353.86,1,VIP Loyalists
12716,3,2,1053.49,1,VIP Loyalists
12717,150,3,1308.91,1,VIP Loyalists
12718,70,1,238.25,1,VIP Loyalists
12719,4,2,644.95,1,VIP Loyalists
12720,2,30,8260.67,1,VIP Loyalists
12721,31,8,4013.08,1,VIP Loyalists
12722,84,4,997.63,1,VIP Loyalists
12723,3,5,725.07,1,VIP Loyalists
12724,4,7,2317.52,1,VIP Loyalists
12725,370,4,2694.56,0,At-Risk Customers
12726,27,11,4014.6,1,VIP Loyalists
12727,10,10,5679.53,1,VIP Loyalists
12728,70,5,1070.17,1,VIP Loyalists
12729,113,1,453.01,1,VIP Loyalists
12730,521,1,829.25,0,At-Risk Customers
12731,23,17,25775.71,1,VIP Loyalists
12732,179,1,236.26,1,VIP Loyalists
12733,233,4,2424.87,1,VIP Loyalists
12734,352,3,639.65,0,At-Risk Customers
12735,314,2,779.5699999999999,0,At-Risk Customers
12736,332,1,234.0,0,At-Risk Customers
12737,498,2,3710.5,0,At-Risk Customers
12738,371,1,310.7,0,At-Risk Customers
12739,77,4,2726.73,1,VIP Loyalists
12740,63,1,427.6,1,VIP Loyalists
12741,528,2,406.07,0,At-Risk Customers
12742,625,1,1201.52,0,At-Risk Customers
12743,133,2,546.43,1,VIP Loyalists
12744,51,11,25317.06,1,VIP Loyalists
12745,486,3,925.41,0,At-Risk Customers
12746,540,1,254.55,0,At-Risk Customers
12747,1,26,9276.54,1,VIP Loyalists
12748,0,336,56599.39,2,Regular Customers
12749,3,9,6897.36,1,VIP Loyalists
12750,128,1,275.88,1,VIP Loyalists
12751,444,1,268.27,0,At-Risk Customers
12752,80,1,4366.78,1,VIP Loyalists
12753,22,6,21429.39,1,VIP Loyalists
12754,235,3,3010.74,1,VIP Loyalists
12755,280,11,9030.66,1,VIP Loyalists
12756,86,1,112.07999999999998,1,VIP Loyalists
12757,15,13,7857.1,1,VIP Loyalists
12758,116,7,9903.24,1,VIP Loyalists
12759,51,8,5020.74,1,VIP Loyalists
12760,455,1,347.8,0,At-Risk Customers
12761,457,2,782.95,0,At-Risk Customers
12762,7,2,1898.52,1,VIP Loyalists
12763,137,2,814.16,1,VIP Loyalists
12764,316,1,1693.88,0,At-Risk Customers
12765,471,6,1404.58,0,At-Risk Customers
12766,3,9,10068.28,1,VIP Loyalists
12767,375,1,949.82,0,At-Risk Customers
12768,450,1,168.69000000000003,0,At-Risk Customers
12769,238,1,1143.6,1,VIP Loyalists
12770,210,2,3246.45,1,VIP Loyalists
12771,485,1,282.3,0,At-Risk Customers
12772,59,1,892.47,1,VIP Loyalists
12773,563,1,124.25,0,At-Risk Customers
12774,535,1,98.7,0,At-Risk Customers
12775,16,7,1686.12,1,VIP Loyalists
12776,667,1,55.5,0,At-Risk Customers
12777,457,1,519.45,0,At-Risk Customers
12778,19,9,1775.68,1,VIP Loyalists
12779,37,14,6722.27,1,VIP Loyalists
12780,598,1,337.4,0,At-Risk Customers
12781,63,2,826.74,1,VIP Loyalists
12782,4,11,4618.24,1,VIP Loyalists
12783,1,6,2225.91,1,VIP Loyalists
12784,8,3,1804.75,1,VIP Loyalists
12785,363,3,1100.4,0,At-Risk Customers
12786,609,1,728.5,0,At-Risk Customers
12787,9,4,862.18,1,VIP Loyalists
12788,462,4,444.9,0,At-Risk Customers
12789,64,3,273.35,1,VIP Loyalists
12790,191,2,591.85,1,VIP Loyalists
12791,373,6,1056.11,0,At-Risk Customers
12792,256,2,827.01,0,At-Risk Customers
12793,334,3,1017.33,0,At-Risk Customers
12794,52,2,860.41,1,VIP Loyalists
12795,18,1,430.48,1,VIP Loyalists
12796,627,1,381.0,0,At-Risk Customers
12797,365,2,806.11,0,At-Risk Customers
12798,9,4,8510.93,1,VIP Loyalists
12799,528,1,219.35,0,At-Risk Customers
12800,469,3,584.25,0,At-Risk Customers
12801,500,1,1071.82,0,At-Risk Customers
12802,186,7,2416.42,1,VIP Loyalists
12803,392,1,1092.81,0,At-Risk Customers
12804,465,2,327.02,0,At-Risk Customers
12805,381,4,1434.95,0,At-Risk Customers
12806,434,4,2878.96,0,At-Risk Customers
12807,382,1,330.35,0,At-Risk Customers
12808,36,5,906.1,1,VIP Loyalists
12809,177,3,1755.94,1,VIP Loyalists
12810,534,2,534.99,0,At-Risk Customers
12811,260,5,1033.9,1,VIP Loyalists
12812,44,1,229.64,1,VIP Loyalists
12813,501,3,1687.8,0,At-Risk Customers
12814,101,1,125.92,1,VIP Loyalists
12815,147,2,1063.46,1,VIP Loyalists
12816,95,2,572.2,1,VIP Loyalists
12817,280,3,690.98,0,At-Risk Customers
12818,261,1,1542.08,0,At-Risk Customers
12819,457,1,540.52,0,At-Risk Customers
12820,2,11,2689.52,1,VIP Loyalists
12821,213,2,220.8,1,VIP Loyalists
12822,70,2,948.88,1,VIP Loyalists
12823,74,18,6501.5,1,VIP Loyalists
12824,59,1,397.12,1,VIP Loyalists
12825,520,2,518.63,0,At-Risk Customers
12826,2,12,2955.75,1,VIP Loyalists
12827,5,3,430.15,1,VIP Loyalists
12828,2,6,1018.71,1,VIP Loyalists
12829,336,3,385.3,0,At-Risk Customers
12830,37,6,6814.64,1,VIP Loyalists
12831,261,3,451.11,0,At-Risk Customers
12832,31,2,383.03,1,VIP Loyalists
12833,144,1,417.38,1,VIP Loyalists
12834,282,1,312.38,0,At-Risk Customers
12835,427,41,6043.31,0,At-Risk Customers
12836,58,15,6585.62,1,VIP Loyalists
12837,172,2,688.41,1,VIP Loyalists
12838,33,10,3398.48,1,VIP Loyalists
12839,2,26,10071.73,1,VIP Loyalists
12840,143,7,4041.97,1,VIP Loyalists
12841,4,40,7540.68,1,VIP Loyalists
12842,69,4,1917.99,1,VIP Loyalists
12843,65,30,6588.41,1,VIP Loyalists
12844,28,4,648.6,1,VIP Loyalists
12845,266,4,354.09,0,At-Risk Customers
12846,681,1,15.58,0,At-Risk Customers
12847,21,2,1636.9,1,VIP Loyalists
12848,675,1,208.0,0,At-Risk Customers
12849,30,6,3090.56,1,VIP Loyalists
12850,445,1,330.0,0,At-Risk Customers
12851,96,2,284.13,1,VIP Loyalists
12852,294,1,311.55,0,At-Risk Customers
12853,134,11,3907.5,1,VIP Loyalists
12854,78,7,2994.02,1,VIP Loyalists
12855,372,4,650.9399999999999,0,At-Risk Customers
12856,7,6,2179.93,1,VIP Loyalists
12857,210,6,3688.0,1,VIP Loyalists
12858,382,1,177.92,0,At-Risk Customers
12859,458,1,575.1,0,At-Risk Customers
12860,692,1,55.47,0,At-Risk Customers
12861,619,1,68.25,0,At-Risk Customers
12862,425,2,1008.32,0,At-Risk Customers
12863,51,6,2792.55,1,VIP Loyalists
12864,137,2,299.57,1,VIP Loyalists
12865,25,4,3323.47,1,VIP Loyalists
12866,282,3,1227.35,0,At-Risk Customers
12867,25,13,7913.29,1,VIP Loyalists
12868,185,8,2247.06,1,VIP Loyalists
12869,681,1,337.67,0,At-Risk Customers
12870,374,3,1676.95,0,At-Risk Customers
12871,83,3,744.02,1,VIP Loyalists
12872,326,12,3685.49,0,At-Risk Customers
12873,281,3,2027.3,0,At-Risk Customers
12874,384,2,948.42,0,At-Risk Customers
12875,142,5,1356.99,1,VIP Loyalists
12876,57,4,4081.79,1,VIP Loyalists
12877,3,20,2955.17,1,VIP Loyalists
12878,235,2,854.99,1,VIP Loyalists
12879,44,3,573.22,1,VIP Loyalists
12880,381,2,640.13,0,At-Risk Customers
12881,275,1,298.0,0,At-Risk Customers
12882,8,2,1463.04,1,VIP Loyalists
12883,24,4,703.47,1,VIP Loyalists
12884,87,1,309.05,1,VIP Loyalists
12885,62,3,1175.22,1,VIP Loyalists
12886,67,2,1378.4,1,VIP Loyalists
12887,383,1,222.4,0,At-Risk Customers
12888,213,2,354.12,1,VIP Loyalists
12889,380,4,385.46,0,At-Risk Customers
12890,23,2,717.27,1,VIP Loyalists
12891,185,11,840.5,1,VIP Loyalists
12892,396,1,263.38,0,At-Risk Customers
12893,30,1,188.14,1,VIP Loyalists
12894,574,1,157.35,0,At-Risk Customers
12895,41,2,372.8,1,VIP Loyalists
12897,204,4,514.25,1,VIP Loyalists
12898,463,2,310.96000000000004,0,At-Risk Customers
12899,413,1,366.4,0,At-Risk Customers
12900,421,1,340.33,0,At-Risk Customers
12901,8,28,17654.54,1,VIP Loyalists
12902,264,1,138.68,0,At-Risk Customers
12903,428,1,833.53,0,At-Risk Customers
12904,17,2,509.58,1,VIP Loyalists
12905,576,2,1018.42,0,At-Risk Customers
12906,11,5,2919.81,1,VIP Loyalists
12907,395,2,508.91,0,At-Risk Customers
12908,175,5,1776.0,1,VIP Loyalists
12909,39,8,3103.19,1,VIP Loyalists
12910,22,13,5796.52,1,VIP Loyalists
12911,551,1,1680.47,0,At-Risk Customers
12912,2,5,1662.3,1,VIP Loyalists
12913,4,13,6700.860000000001,1,VIP Loyalists
12914,400,1,223.98,0,At-Risk Customers
12915,148,4,1174.75,1,VIP Loyalists
12916,138,7,4654.02,1,VIP Loyalists
12917,127,6,4359.2,1,VIP Loyalists
12918,625,1,10953.5,0,At-Risk Customers
12919,7,6,1335.19,1,VIP Loyalists
12920,16,4,488.09,1,VIP Loyalists
12921,8,74,35921.04,2,Regular Customers
12922,160,1,405.38,1,VIP Loyalists
12923,63,3,789.87,1,VIP Loyalists
12924,87,12,2469.4,1,VIP Loyalists
12925,4,3,729.3299999999999,1,VIP Loyalists
12926,410,4,1548.46,0,At-Risk Customers
12927,394,1,197.31,0,At-Risk Customers
12928,34,12,4304.89,1,VIP Loyalists
12929,311,1,117.85,0,At-Risk Customers
12930,77,2,415.8,1,VIP Loyalists
12931,21,57,92347.34,2,Regular Customers
12932,538,8,1698.56,0,At-Risk Customers
12933,23,8,1687.03,1,VIP Loyalists
12934,736,1,181.65,0,At-Risk Customers
12935,1,15,4243.86,1,VIP Loyalists
12936,16,4,1063.9,1,VIP Loyalists
12937,14,9,3097.61,1,VIP Loyalists
12938,25,1,114.14,1,VIP Loyalists
12939,63,20,25264.8,1,VIP Loyalists
12940,54,2,913.54,1,VIP Loyalists
12941,723,1,377.49,0,At-Risk Customers
12942,130,3,942.65,1,VIP Loyalists
12943,557,2,496.5,0,At-Risk Customers
12944,35,2,604.51,1,VIP Loyalists
12945,287,2,900.11,0,At-Risk Customers
12946,436,1,324.45,0,At-Risk Customers
12947,143,6,1908.03,1,VIP Loyalists
12948,15,9,2317.43,1,VIP Loyalists
12949,30,22,15526.7,1,VIP Loyalists
12950,1,3,1843.0,1,VIP Loyalists
12951,8,15,3213.7200000000003,1,VIP Loyalists
12952,5,4,1387.79,1,VIP Loyalists
12953,9,2,828.8100000000001,1,VIP Loyalists
12954,638,1,162.45,0,At-Risk Customers
12955,0,11,4757.16,1,VIP Loyalists
12956,305,4,521.89,0,At-Risk Customers
12957,9,13,8706.97,1,VIP Loyalists
12958,399,2,539.49,0,At-Risk Customers
12959,483,1,150.95,0,At-Risk Customers
12960,413,4,1322.07,0,At-Risk Customers
12961,378,1,211.99,0,At-Risk Customers
12962,6,2,266.39,1,VIP Loyalists
12963,7,12,3601.59,1,VIP Loyalists
